"SampleName","SampleID","No","Model","Day"
"1","DSSd00_1","KI_PC1606_01",1,"DSS","d00"
"2","DSSd00_2","KI_PC1606_02",2,"DSS","d00"
"3","DSSd00_3","KI_PC1606_03",3,"DSS","d00"
"4","DSSd02_1","KI_PC1606_04",4,"DSS","d02"
"5","DSSd02_2","KI_PC1606_05",5,"DSS","d02"
"6","DSSd02_3","KI_PC1606_06",6,"DSS","d02"
"7","DSSd04_1","KI_PC1606_07",7,"DSS","d04"
"8","DSSd04_2","KI_PC1606_08",8,"DSS","d04"
"9","DSSd04_3","KI_PC1606_09",9,"DSS","d04"
"10","DSSd06_1","KI_PC1606_10",10,"DSS","d06"
"11","DSSd06_2","KI_PC1606_11",11,"DSS","d06"
"12","DSSd06_3","KI_PC1606_12",12,"DSS","d06"
"13","DSSd07_1","KI_PC1606_13",13,"DSS","d07"
"14","DSSd07_2","KI_PC1606_14",14,"DSS","d07"
"15","DSSd07_3","KI_PC1606_15",15,"DSS","d07"
"16","DSSd08_1","KI_PC1606_16",16,"DSS","d08"
"17","DSSd08_2","KI_PC1606_17",17,"DSS","d08"
"18","DSSd08_3","KI_PC1606_18",18,"DSS","d08"
"19","DSSd10_2","KI_PC1606_20",20,"DSS","d10"
"20","DSSd10_3","KI_PC1606_21",21,"DSS","d10"
"21","DSSd12_1","KI_PC1606_22",22,"DSS","d12"
"22","DSSd12_2","KI_PC1606_23",23,"DSS","d12"
"23","DSSd12_3","KI_PC1606_24",24,"DSS","d12"
"24","DSSd14_1","KI_PC1606_25",25,"DSS","d14"
"25","DSSd14_2","KI_PC1606_26",26,"DSS","d14"
"26","DSSd14_3","KI_PC1606_27",27,"DSS","d14"
